source_id	kind	resolved_path	exists	file_count	size_bytes	mtime_utc	sha256	record_count	columns	validation_status	validation_message
aim2_family_evaluation	file	/array1/xinpeng/aim2_1_compare_cazy_dbcan/scores/jgi_fungi/jgi_fungi_hmm_evaluation.tsv	true	1	64844	2026-07-20T01:33:22.193361Z	5a1e1af158b0e9c8409b788b3d3ec83d0ae3df9bcc6752f69d40fc47f1993570	511	"[""family"", ""n_true"", ""recall_default"", ""recall_hi"", ""precision_default"", ""precision_hi"", ""health"", ""auprc"", ""verdict"", ""priority"", ""hmm_len"", ""seed_source"", ""rec_bit_cutoff"", ""rec_cov_cutoff"", ""heldout_recall_default"", ""heldout_precision_default"", ""heldout_F1_default"", ""heldout_recall_tuned"", ""heldout_precision_tuned"", ""heldout_F1_tuned"", ""heldout_F1_gain"", ""generalizes""]"	warning	quick metadata digest; full content hash not computed
aim2_hits	file	/array1/xinpeng/aim2_1_compare_cazy_dbcan/scores/jgi_fungi/hits.tsv	true	1	108819200	2026-07-20T00:55:18.395346Z	f2f940572e35b2184b72b677dc87572eef1cb2d627dbee154ca9a4d5d34a375a	1630839	"[""family"", ""protein_id"", ""genome"", ""i_evalue"", ""coverage"", ""bitscore"", ""neg_log10_evalue"", ""label"", ""taxon""]"	warning	quick metadata digest; full content hash not computed
aim2_genome_support	file	/array1/xinpeng/aim2_1_compare_cazy_dbcan/scores/jgi_fungi/genome_support.tsv	true	1	2072941	2026-07-20T00:55:18.583349Z	8e983d981940c38d522c0f7bac96b406660472dfec5c19828a654049bad684f3	134469	"[""family"", ""genome"", ""n_true""]"	warning	quick metadata digest; full content hash not computed
aim2_protein_comparison	file	/array1/xinpeng/aim2_1_compare_cazy_dbcan/compare_results/new_results_no_subfam/compare_no-subfam.tsv	true	1	51846420	2025-11-24T22:46:00.051786Z	f1caa3066136f9b70a55d6a49088fce8ba62b9f4f3ba935ab90415006f2ff245	1980141	"[""protein_id"", ""genome"", ""cazy_annotation"", ""dbcan_annotation"", ""result""]"	warning	quick metadata digest; full content hash not computed
aim2_protein_domain	file	/array1/xinpeng/aim2_1_compare_cazy_dbcan/compare_results/new_results_no_subfam/protein_domain.result_no-subfam.tsv	true	1	42880742	2025-11-24T22:46:00.697803Z	23928502f39995f913dd63e5324b88655b804c7c345836b31413b1bc719da209	578184	"[""protein_id"", ""genome"", ""cazy_annotation"", ""dbcan_annotation"", ""match_result"", ""cazy_domain_count"", ""dbcan_domain_count"", ""matched_count"", ""precision"", ""recall"", ""f1"", ""multiset_jaccard""]"	warning	quick metadata digest; full content hash not computed
aim2_overcall_assessment	file	/array1/xinpeng/aim2_1_compare_cazy_dbcan/results/overcall_assessment.tsv	true	1	50651	2026-07-20T01:31:50.783839Z	3ea033b4e16519b91e7494370b4be5760a387007eb1e76926f82a7c18258ec22	536	"[""family"", ""verdict"", ""TP"", ""FP"", ""raw_precision"", ""corrected_precision_lo"", ""corrected_precision_hi"", ""diamond_corrob_frac"", ""sub_corrob_frac"", ""overcall_flag"", ""seed"", ""seed_breadth_class"", ""is_cog_seeded""]"	warning	quick metadata digest; full content hash not computed
aim2_dbcan_results	directory	/array1/xinpeng/aim2_1_compare_cazy_dbcan/JGI_sequence_dbCAN	true	1198	63115778	2026-07-10T02:19:26.113405Z	1a92f2aa8e6b904aeb8baf25320b31543002cf657877bced507d68a87191c5ff		[]	warning	quick metadata digest; full child hashes not computed
aim2_proteomes	directory	/array1/xinpeng/aim2_1_compare_cazy_dbcan/JGI_sequence	true	1198	7635657291	2025-09-30T20:23:27.427243Z	78e061e7c48f0e3e96b7de4a37759218cecaa551ab5264f3970bd12602681498		[]	warning	quick metadata digest; full child hashes not computed
cazy_fungi_2024	file	/array1/xinpeng/fungi-cazyme-project/CAZyDB.07142024.fungi.faa	true	1	280933547	2026-07-07T20:42:23.255384Z	5a86d9fbe0b3099ba9004073fce228fc86449c356a9c9f8bdaaa645090bed54d	457694	[]	warning	quick metadata digest; full content hash not computed
cazy_fungi_2025	file	/array1/xinpeng/fungi-cazyme-project/CAZyDB.07242025.fungi.faa	true	1	323788780	2026-07-07T20:42:32.471580Z	fea4f2c1c0db67fb485abb6df59b535003983f56b15519bc59195e85bbc7e49c	524926	[]	warning	quick metadata digest; full content hash not computed
cazy_metadata_20260529	file	/array1/xinpeng/fungi-cazyme-project/cazy_data_20260529.txt	true	1	367906773	2026-05-29T16:28:44Z	2da50771aa63ccf092719e617a9066e7b0e0b2a4ea3d777a39bff3540bb69647	6006576	[]	warning	quick metadata digest; full content hash not computed
dbcan_hmm_2024	file	/array1/xinpeng/dbcan_db_2024/dbCAN.hmm	true	1	120387507	2026-07-08T22:57:14.213269Z	aede1552975dcda2b68e29dc0440b201c82de616ab5e141f0f150eba4a499da5	826	[]	warning	quick metadata digest; full content hash not computed
dbcan_hmm_current	file	/array1/xinpeng/dbcan_db/dbCAN.hmm	true	1	129842960	2026-07-07T22:05:45.894993Z	fdc53cefdc3996b22443bd30d13d4895083bde19322f18565b9dc0e58e7a8f18	875	[]	warning	quick metadata digest; full content hash not computed
dbcan_msa_2024	directory	/array1/xinpeng/dbcan4-advanced/hmm2024/msa	true	223	192014898	2026-07-07T23:25:16.887332Z	a711e99a672d13903717166919b7aca92672648c1dc2dfb9fe6b1e9de99648b8		[]	warning	quick metadata digest; full child hashes not computed
family_substrate_current	file	/array1/xinpeng/dbcan_db/fam-substrate-mapping.tsv	true	1	93338	2026-07-07T22:08:21.289890Z	005a31bc9cf6a460d7976d41d2b64b72a491d028db6bf751e1bf67586e2063f5	1023	"[""Substrate_high_level"", ""Substrate_curated"", ""Family"", ""Name"", ""EC_Number""]"	warning	quick metadata digest; full content hash not computed
family_info_2024	file	/array1/xinpeng/fam-info-08-14-24.txt	true	1	113360	2026-07-10T19:29:49.795420Z	e713d990fdce3bfee89dba308db2ec5b322dee275761a29887cbd18a5a8c35e1	533	"[""Family"", ""models based upon"", ""cazy-note"", ""cazy-activities"", ""substrate""]"	warning	quick metadata digest; full content hash not computed
mycocosm_metadata	file	/array1/xinpeng/fungi-cazyme-PLM/mycocosm_genome_metadata.csv	true	1	412353	2026-07-20T20:25:57.986687Z	3a059c6effca20b29a79d78bc95b95f5618275a37babbfd7790611de5b53d103	3836	"[""##"", ""name"", ""portal"", ""NCBI Taxon"", ""assembly length"", ""#of genes"", ""is restricted"", ""is public"", ""is published"", ""is superseded"", ""superseded by"", ""publication(s)"", ""pubmed id(s)"", ""doi id(s)""]"	warning	quick metadata digest; full content hash not computed
cazyme3d_sequences	file	/array1/xinpeng/cazyme3d/cazyme3d_id50_aa.faa	true	1	95876688	2026-07-09T05:18:53.111963Z	1cc923c58d2b0001a57cb7d579b073f6af3dd8a664980213ab9ea4132441bd6a	178356	[]	warning	quick metadata digest; full content hash not computed
cazyme3d_archive	file	/array1/xinpeng/cazyme3d/CAZyme3d_id50.tar.gz	true	1	13244838940	2024-06-28T20:41:04Z	5b0e64c1786b50754539dc91610425418b9317b53ad2a37bcf9860d9ff88d1b9		[]	warning	quick metadata digest; full content hash not computed
cazyme3d_legacy_mapping	file	/array1/xinpeng/dbcan4-advanced/structure/cazyme3d_mapping/mapping_matched_genes.tsv	true	1	636	2026-07-09T05:17:40.758706Z	ebe433a70edf7cf5563e277374cbf8daa06869e352178e5466f3d17a204fe848	6	"[""genome"", ""gene_id"", ""family"", ""seq_md5"", ""cazyme3d_accessions""]"	warning	quick metadata digest; full content hash not computed
legacy_reference_labels_2024	file	/array1/xinpeng/dbcan4-advanced/data/reference_labels_2024.tsv	true	1	18182426	2026-07-07T21:47:09.712796Z	f620cc140ddd46d3ad53fc7a0eec7d9aa8085d473795feaa7fbbc954441afe8c	337759	"[""protein_id"", ""seq_len"", ""seq_md5"", ""families"", ""classes""]"	warning	quick metadata digest; full content hash not computed
legacy_test_labels_2025	file	/array1/xinpeng/dbcan4-advanced/data/test_2025_labels.tsv	true	1	25377226	2026-07-07T21:47:10.876817Z	e68d5998724d5f89837ffc359763925bbc1da2948b31af5bb17b2fd17414d8d5	382156	"[""protein_id"", ""seq_len"", ""seq_md5"", ""families"", ""classes"", ""novelty""]"	warning	quick metadata digest; full content hash not computed
legacy_embeddings	directory	/array1/xinpeng/dbcan4-advanced/emb	true	16	733877747	2026-07-07T22:55:43.255694Z	f91d2be4b9f116a82ac339069150bddd43f9b1918afeceb05b04295daa5e36da		[]	warning	quick metadata digest; full child hashes not computed
